"","","","m_true_new"
"955",-0.9,0.3,1
"956",-0.8,0.3,1
"957",-0.7,0.3,1
"958",-0.6,0.3,1
"959",-0.5,0.3,1
"960",-0.4,0.3,1
"961",-0.3,0.3,1
"962",-0.2,0.3,1
"963",-0.0999999999999999,0.3,1
"964",0,0.3,1
"965",0.1,0.3,-1
"966",0.2,0.3,-1
"967",0.3,0.3,-1
"968",0.4,0.3,-1
"969",0.5,0.3,-1
"970",0.6,0.3,-1
"971",0.7,0.3,-1
"972",0.8,0.3,-1
"973",0.9,0.3,-1
"974",1,0.3,-1
"975",1.1,0.3,-1
"976",1.2,0.3,-1
"977",1.3,0.3,-1
"978",1.4,0.3,-1
"979",1.5,0.3,-1
"980",1.6,0.3,-1
"981",1.7,0.3,-1
"982",1.8,0.3,-1
"983",1.9,0.3,-1
"984",2,0.3,-1
"985",-2,0.4,1
"986",-1.9,0.4,1
"987",-1.8,0.4,1
"988",-1.7,0.4,1
"989",-1.6,0.4,1
"990",-1.5,0.4,1
"991",-1.4,0.4,1
"992",-1.3,0.4,1
"993",-1.2,0.4,1
"994",-1.1,0.4,1
"995",-1,0.4,1
"996",-0.9,0.4,1
"997",-0.8,0.4,1
"998",-0.7,0.4,1
"999",-0.6,0.4,1
"1000",-0.5,0.4,1
"1001",-0.4,0.4,1
"1002",-0.3,0.4,1
"1003",-0.2,0.4,1
"1004",-0.0999999999999999,0.4,1
"1005",0,0.4,1
"1006",0.1,0.4,-1
"1007",0.2,0.4,-1
"1008",0.3,0.4,-1
"1009",0.4,0.4,-1
"1010",0.5,0.4,-1
"1011",0.6,0.4,-1
"1012",0.7,0.4,-1
"1013",0.8,0.4,-1
"1014",0.9,0.4,-1
"1015",1,0.4,-1
"1016",1.1,0.4,-1
"1017",1.2,0.4,-1
"1018",1.3,0.4,-1
"1019",1.4,0.4,-1
"1020",1.5,0.4,-1
"1021",1.6,0.4,-1
"1022",1.7,0.4,-1
"1023",1.8,0.4,-1
"1024",1.9,0.4,-1
"1025",2,0.4,-1
"1026",-2,0.5,1
"1027",-1.9,0.5,1
"1028",-1.8,0.5,1
"1029",-1.7,0.5,1
"1030",-1.6,0.5,1
"1031",-1.5,0.5,1
"1032",-1.4,0.5,1
"1033",-1.3,0.5,1
"1034",-1.2,0.5,1
"1035",-1.1,0.5,1
"1036",-1,0.5,1
"1037",-0.9,0.5,1
"1038",-0.8,0.5,1
"1039",-0.7,0.5,1
"1040",-0.6,0.5,1
"1041",-0.5,0.5,1
"1042",-0.4,0.5,1
"1043",-0.3,0.5,1
"1044",-0.2,0.5,1
"1045",-0.0999999999999999,0.5,1
"1046",0,0.5,1
"1047",0.1,0.5,-1
"1048",0.2,0.5,-1
"1049",0.3,0.5,-1
"1050",0.4,0.5,-1
"1051",0.5,0.5,-1
"1052",0.6,0.5,-1
"1053",0.7,0.5,-1
"1054",0.8,0.5,-1
"1055",0.9,0.5,-1
"1056",1,0.5,-1
"1057",1.1,0.5,-1
"1058",1.2,0.5,-1
"1059",1.3,0.5,-1
"1060",1.4,0.5,-1
"1061",1.5,0.5,-1
"1062",1.6,0.5,-1
"1063",1.7,0.5,-1
"1064",1.8,0.5,-1
"1065",1.9,0.5,-1
"1066",2,0.5,-1
"1067",-2,0.6,1
"1068",-1.9,0.6,1
"1069",-1.8,0.6,1
"1070",-1.7,0.6,1
"1071",-1.6,0.6,1
"1072",-1.5,0.6,1
"1073",-1.4,0.6,1
"1074",-1.3,0.6,1
"1075",-1.2,0.6,1
"1076",-1.1,0.6,1
"1077",-1,0.6,1
"1078",-0.9,0.6,1
"1079",-0.8,0.6,1
"1080",-0.7,0.6,1
"1081",-0.6,0.6,1
"1082",-0.5,0.6,1
"1083",-0.4,0.6,1
"1084",-0.3,0.6,1
"1085",-0.2,0.6,1
"1086",-0.0999999999999999,0.6,1
"1087",0,0.6,1
"1088",0.1,0.6,-1
"1089",0.2,0.6,-1
"1090",0.3,0.6,-1
"1091",0.4,0.6,-1
"1092",0.5,0.6,-1
"1093",0.6,0.6,-1
"1094",0.7,0.6,-1
"1095",0.8,0.6,-1
"1096",0.9,0.6,-1
"1097",1,0.6,-1
"1098",1.1,0.6,-1
"1099",1.2,0.6,-1
"1100",1.3,0.6,-1
"1101",1.4,0.6,-1
"1102",1.5,0.6,-1
"1103",1.6,0.6,-1
"1104",1.7,0.6,-1
"1105",1.8,0.6,-1
"1106",1.9,0.6,-1
"1107",2,0.6,-1
"1108",-2,0.7,1
"1109",-1.9,0.7,1
"1110",-1.8,0.7,1
"1111",-1.7,0.7,1
"1112",-1.6,0.7,1
"1113",-1.5,0.7,1
"1114",-1.4,0.7,1
"1115",-1.3,0.7,1
"1116",-1.2,0.7,1
"1117",-1.1,0.7,1
"1118",-1,0.7,1
"1119",-0.9,0.7,1
"1120",-0.8,0.7,1
"1121",-0.7,0.7,1
"1122",-0.6,0.7,1
"1123",-0.5,0.7,1
"1124",-0.4,0.7,1
"1125",-0.3,0.7,1
"1126",-0.2,0.7,1
"1127",-0.0999999999999999,0.7,1
"1128",0,0.7,1
"1129",0.1,0.7,-1
"1130",0.2,0.7,-1
"1131",0.3,0.7,-1
"1132",0.4,0.7,-1
"1133",0.5,0.7,-1
"1134",0.6,0.7,-1
"1135",0.7,0.7,-1
"1136",0.8,0.7,-1
"1137",0.9,0.7,-1
"1138",1,0.7,-1
"1139",1.1,0.7,-1
"1140",1.2,0.7,-1
"1141",1.3,0.7,-1
"1142",1.4,0.7,-1
"1143",1.5,0.7,-1
"1144",1.6,0.7,-1
"1145",1.7,0.7,-1
"1146",1.8,0.7,-1
"1147",1.9,0.7,-1
"1148",2,0.7,-1
"1149",-2,0.8,1
"1150",-1.9,0.8,1
"1151",-1.8,0.8,1
"1152",-1.7,0.8,1
"1153",-1.6,0.8,1
"1154",-1.5,0.8,1
"1155",-1.4,0.8,1
"1156",-1.3,0.8,1
"1157",-1.2,0.8,1
"1158",-1.1,0.8,1
"1159",-1,0.8,1
"1160",-0.9,0.8,1
"1161",-0.8,0.8,1
"1162",-0.7,0.8,1
"1163",-0.6,0.8,1
"1164",-0.5,0.8,1
"1165",-0.4,0.8,1
"1166",-0.3,0.8,1
"1167",-0.2,0.8,1
"1168",-0.0999999999999999,0.8,1
"1169",0,0.8,1
"1170",0.1,0.8,-1
"1171",0.2,0.8,-1
"1172",0.3,0.8,-1
"1173",0.4,0.8,-1
"1174",0.5,0.8,-1
"1175",0.6,0.8,-1
"1176",0.7,0.8,-1
"1177",0.8,0.8,-1
"1178",0.9,0.8,-1
"1179",1,0.8,-1
"1180",1.1,0.8,-1
"1181",1.2,0.8,-1
"1182",1.3,0.8,-1
"1183",1.4,0.8,-1
"1184",1.5,0.8,-1
"1185",1.6,0.8,-1
"1186",1.7,0.8,-1
"1187",1.8,0.8,-1
"1188",1.9,0.8,-1
"1189",2,0.8,-1
"1190",-2,0.9,1
"1191",-1.9,0.9,1
"1192",-1.8,0.9,1
"1193",-1.7,0.9,1
"1194",-1.6,0.9,1
"1195",-1.5,0.9,1
"1196",-1.4,0.9,1
"1197",-1.3,0.9,1
"1198",-1.2,0.9,1
"1199",-1.1,0.9,1
"1200",-1,0.9,1
"1201",-0.9,0.9,1
"1202",-0.8,0.9,1
"1203",-0.7,0.9,1
"1204",-0.6,0.9,1
"1205",-0.5,0.9,1
"1206",-0.4,0.9,1
"1207",-0.3,0.9,1
"1208",-0.2,0.9,1
"1209",-0.0999999999999999,0.9,1
"1210",0,0.9,1
"1211",0.1,0.9,-1
"1212",0.2,0.9,-1
"1213",0.3,0.9,-1
"1214",0.4,0.9,-1
"1215",0.5,0.9,-1
"1216",0.6,0.9,-1
"1217",0.7,0.9,-1
"1218",0.8,0.9,-1
"1219",0.9,0.9,-1
"1220",1,0.9,-1
"1221",1.1,0.9,-1
"1222",1.2,0.9,-1
"1223",1.3,0.9,-1
"1224",1.4,0.9,-1
"1225",1.5,0.9,-1
"1226",1.6,0.9,-1
"1227",1.7,0.9,-1
"1228",1.8,0.9,-1
"1229",1.9,0.9,-1
"1230",2,0.9,-1
"1231",-2,1,1
"1232",-1.9,1,1
"1233",-1.8,1,1
"1234",-1.7,1,1
"1235",-1.6,1,1
"1236",-1.5,1,1
"1237",-1.4,1,1
"1238",-1.3,1,1
"1239",-1.2,1,1
"1240",-1.1,1,1
"1241",-1,1,1
"1242",-0.9,1,1
"1243",-0.8,1,1
"1244",-0.7,1,1
"1245",-0.6,1,1
"1246",-0.5,1,1
"1247",-0.4,1,1
"1248",-0.3,1,1
"1249",-0.2,1,1
"1250",-0.0999999999999999,1,1
"1251",0,1,1
"1252",0.1,1,-1
"1253",0.2,1,-1
"1254",0.3,1,-1
"1255",0.4,1,-1
"1256",0.5,1,-1
"1257",0.6,1,-1
"1258",0.7,1,-1
"1259",0.8,1,-1
"1260",0.9,1,-1
"1261",1,1,-1
"1262",1.1,1,-1
"1263",1.2,1,-1
"1264",1.3,1,-1
"1265",1.4,1,-1
"1266",1.5,1,-1
"1267",1.6,1,-1
"1268",1.7,1,-1
"1269",1.8,1,-1
"1270",1.9,1,-1
"1271",2,1,-1
"1272",-2,1.1,-1
"1273",-1.9,1.1,-1
"1274",-1.8,1.1,1
"1275",-1.7,1.1,1
"1276",-1.6,1.1,1
"1277",-1.5,1.1,1
"1278",-1.4,1.1,1
"1279",-1.3,1.1,1
"1280",-1.2,1.1,1
"1281",-1.1,1.1,1
"1282",-1,1.1,1
"1283",-0.9,1.1,1
"1284",-0.8,1.1,1
"1285",-0.7,1.1,1
"1286",-0.6,1.1,1
"1287",-0.5,1.1,1
"1288",-0.4,1.1,1
"1289",-0.3,1.1,1
"1290",-0.2,1.1,1
"1291",-0.0999999999999999,1.1,1
"1292",0,1.1,1
"1293",0.1,1.1,-1
"1294",0.2,1.1,-1
"1295",0.3,1.1,-1
"1296",0.4,1.1,-1
"1297",0.5,1.1,-1
"1298",0.6,1.1,-1
"1299",0.7,1.1,-1
"1300",0.8,1.1,-1
"1301",0.9,1.1,-1
"1302",1,1.1,-1
"1303",1.1,1.1,-1
"1304",1.2,1.1,-1
"1305",1.3,1.1,-1
"1306",1.4,1.1,-1
"1307",1.5,1.1,-1
"1308",1.6,1.1,-1
"1309",1.7,1.1,-1
"1310",1.8,1.1,-1
"1311",1.9,1.1,1
"1312",2,1.1,1
"1313",-2,1.2,-1
"1314",-1.9,1.2,-1
"1315",-1.8,1.2,-1
"1316",-1.7,1.2,-1
"1317",-1.6,1.2,1
"1318",-1.5,1.2,1
"1319",-1.4,1.2,1
"1320",-1.3,1.2,1
"1321",-1.2,1.2,1
"1322",-1.1,1.2,1
"1323",-1,1.2,1
"1324",-0.9,1.2,1
"1325",-0.8,1.2,1
"1326",-0.7,1.2,1
"1327",-0.6,1.2,1
"1328",-0.5,1.2,1
"1329",-0.4,1.2,1
"1330",-0.3,1.2,1
"1331",-0.2,1.2,1
"1332",-0.0999999999999999,1.2,1
"1333",0,1.2,1
"1334",0.1,1.2,-1
"1335",0.2,1.2,-1
"1336",0.3,1.2,-1
"1337",0.4,1.2,-1
"1338",0.5,1.2,-1
"1339",0.6,1.2,-1
"1340",0.7,1.2,-1
"1341",0.8,1.2,-1
"1342",0.9,1.2,-1
"1343",1,1.2,-1
"1344",1.1,1.2,-1
"1345",1.2,1.2,-1
"1346",1.3,1.2,-1
"1347",1.4,1.2,-1
"1348",1.5,1.2,-1
"1349",1.6,1.2,-1
"1350",1.7,1.2,1
"1351",1.8,1.2,1
"1352",1.9,1.2,1
"1353",2,1.2,1
"1354",-2,1.3,-1
"1355",-1.9,1.3,-1
"1356",-1.8,1.3,-1
"1357",-1.7,1.3,-1
"1358",-1.6,1.3,-1
"1359",-1.5,1.3,1
"1360",-1.4,1.3,1
"1361",-1.3,1.3,1
"1362",-1.2,1.3,1
"1363",-1.1,1.3,1
"1364",-1,1.3,1
"1365",-0.9,1.3,1
"1366",-0.8,1.3,1
"1367",-0.7,1.3,1
"1368",-0.6,1.3,1
"1369",-0.5,1.3,1
"1370",-0.4,1.3,1
"1371",-0.3,1.3,1
"1372",-0.2,1.3,1
"1373",-0.0999999999999999,1.3,1
"1374",0,1.3,1
"1375",0.1,1.3,-1
"1376",0.2,1.3,-1
"1377",0.3,1.3,-1
"1378",0.4,1.3,-1
"1379",0.5,1.3,-1
"1380",0.6,1.3,-1
"1381",0.7,1.3,-1
"1382",0.8,1.3,-1
"1383",0.9,1.3,-1
"1384",1,1.3,-1
"1385",1.1,1.3,-1
"1386",1.2,1.3,-1
"1387",1.3,1.3,-1
"1388",1.4,1.3,-1
"1389",1.5,1.3,-1
"1390",1.6,1.3,1
"1391",1.7,1.3,1
"1392",1.8,1.3,1
"1393",1.9,1.3,1
"1394",2,1.3,1
"1395",-2,1.4,-1
"1396",-1.9,1.4,-1
"1397",-1.8,1.4,-1
"1398",-1.7,1.4,-1
"1399",-1.6,1.4,-1
"1400",-1.5,1.4,-1
"1401",-1.4,1.4,1
"1402",-1.3,1.4,1
"1403",-1.2,1.4,1
"1404",-1.1,1.4,1
"1405",-1,1.4,1
"1406",-0.9,1.4,1
"1407",-0.8,1.4,1
"1408",-0.7,1.4,1
"1409",-0.6,1.4,1
"1410",-0.5,1.4,1
"1411",-0.4,1.4,1
"1412",-0.3,1.4,1
"1413",-0.2,1.4,1
"1414",-0.0999999999999999,1.4,1
"1415",0,1.4,1
"1416",0.1,1.4,-1
"1417",0.2,1.4,-1
"1418",0.3,1.4,-1
"1419",0.4,1.4,-1
"1420",0.5,1.4,-1
"1421",0.6,1.4,-1
"1422",0.7,1.4,-1
"1423",0.8,1.4,-1
"1424",0.9,1.4,-1
"1425",1,1.4,-1
"1426",1.1,1.4,-1
"1427",1.2,1.4,-1
"1428",1.3,1.4,-1
"1429",1.4,1.4,-1
"1430",1.5,1.4,1
"1431",1.6,1.4,1
"1432",1.7,1.4,1
"1433",1.8,1.4,1
"1434",1.9,1.4,1
"1435",2,1.4,1
"1436",-2,1.5,-1
"1437",-1.9,1.5,-1
"1438",-1.8,1.5,-1
"1439",-1.7,1.5,-1
"1440",-1.6,1.5,-1
"1441",-1.5,1.5,-1
"1442",-1.4,1.5,-1
"1443",-1.3,1.5,1
"1444",-1.2,1.5,1
"1445",-1.1,1.5,1
"1446",-1,1.5,1
"1447",-0.9,1.5,1
"1448",-0.8,1.5,1
"1449",-0.7,1.5,1
"1450",-0.6,1.5,1
"1451",-0.5,1.5,1
"1452",-0.4,1.5,1
"1453",-0.3,1.5,1
"1454",-0.2,1.5,1
"1455",-0.0999999999999999,1.5,1
"1456",0,1.5,1
"1457",0.1,1.5,-1
"1458",0.2,1.5,-1
"1459",0.3,1.5,-1
"1460",0.4,1.5,-1
"1461",0.5,1.5,-1
"1462",0.6,1.5,-1
"1463",0.7,1.5,-1
"1464",0.8,1.5,-1
"1465",0.9,1.5,-1
"1466",1,1.5,-1
"1467",1.1,1.5,-1
"1468",1.2,1.5,-1
"1469",1.3,1.5,-1
"1470",1.4,1.5,1
"1471",1.5,1.5,1
"1472",1.6,1.5,1
"1473",1.7,1.5,1
"1474",1.8,1.5,1
"1475",1.9,1.5,1
"1476",2,1.5,1
"1477",-2,1.6,-1
"1478",-1.9,1.6,-1
"1479",-1.8,1.6,-1
"1480",-1.7,1.6,-1
"1481",-1.6,1.6,-1
"1482",-1.5,1.6,-1
"1483",-1.4,1.6,-1
"1484",-1.3,1.6,-1
"1485",-1.2,1.6,1
"1486",-1.1,1.6,1
"1487",-1,1.6,1
"1488",-0.9,1.6,1
"1489",-0.8,1.6,1
"1490",-0.7,1.6,1
"1491",-0.6,1.6,1
"1492",-0.5,1.6,1
"1493",-0.4,1.6,1
"1494",-0.3,1.6,1
"1495",-0.2,1.6,1
"1496",-0.0999999999999999,1.6,1
"1497",0,1.6,1
"1498",0.1,1.6,-1
"1499",0.2,1.6,-1
"1500",0.3,1.6,-1
"1501",0.4,1.6,-1
"1502",0.5,1.6,-1
"1503",0.6,1.6,-1
"1504",0.7,1.6,-1
"1505",0.8,1.6,-1
"1506",0.9,1.6,-1
"1507",1,1.6,-1
"1508",1.1,1.6,-1
"1509",1.2,1.6,-1
"1510",1.3,1.6,1
"1511",1.4,1.6,1
"1512",1.5,1.6,1
"1513",1.6,1.6,1
"1514",1.7,1.6,1
"1515",1.8,1.6,1
"1516",1.9,1.6,1
"1517",2,1.6,1
"1518",-2,1.7,-1
"1519",-1.9,1.7,-1
"1520",-1.8,1.7,-1
"1521",-1.7,1.7,-1
"1522",-1.6,1.7,-1
"1523",-1.5,1.7,-1
"1524",-1.4,1.7,-1
"1525",-1.3,1.7,-1
"1526",-1.2,1.7,-1
"1527",-1.1,1.7,1
"1528",-1,1.7,1
"1529",-0.9,1.7,1
"1530",-0.8,1.7,1
"1531",-0.7,1.7,1
"1532",-0.6,1.7,1
"1533",-0.5,1.7,1
"1534",-0.4,1.7,1
"1535",-0.3,1.7,1
"1536",-0.2,1.7,1
"1537",-0.0999999999999999,1.7,1
"1538",0,1.7,1
"1539",0.1,1.7,-1
"1540",0.2,1.7,-1
"1541",0.3,1.7,-1
"1542",0.4,1.7,-1
"1543",0.5,1.7,-1
"1544",0.6,1.7,-1
"1545",0.7,1.7,-1
"1546",0.8,1.7,-1
"1547",0.9,1.7,-1
"1548",1,1.7,-1
"1549",1.1,1.7,-1
"1550",1.2,1.7,1
"1551",1.3,1.7,1
"1552",1.4,1.7,1
"1553",1.5,1.7,1
"1554",1.6,1.7,1
"1555",1.7,1.7,1
"1556",1.8,1.7,1
"1557",1.9,1.7,1
"1558",2,1.7,1
"1559",-2,1.8,-1
"1560",-1.9,1.8,-1
"1561",-1.8,1.8,-1
"1562",-1.7,1.8,-1
"1563",-1.6,1.8,-1
"1564",-1.5,1.8,-1
"1565",-1.4,1.8,-1
"1566",-1.3,1.8,-1
"1567",-1.2,1.8,-1
"1568",-1.1,1.8,1
"1569",-1,1.8,1
"1570",-0.9,1.8,1
"1571",-0.8,1.8,1
"1572",-0.7,1.8,1
"1573",-0.6,1.8,1
"1574",-0.5,1.8,1
"1575",-0.4,1.8,1
"1576",-0.3,1.8,1
"1577",-0.2,1.8,1
"1578",-0.0999999999999999,1.8,1
"1579",0,1.8,1
"1580",0.1,1.8,-1
"1581",0.2,1.8,-1
"1582",0.3,1.8,-1
"1583",0.4,1.8,-1
"1584",0.5,1.8,-1
"1585",0.6,1.8,-1
"1586",0.7,1.8,-1
"1587",0.8,1.8,-1
"1588",0.9,1.8,-1
"1589",1,1.8,-1
"1590",1.1,1.8,-1
"1591",1.2,1.8,1
"1592",1.3,1.8,1
"1593",1.4,1.8,1
"1594",1.5,1.8,1
"1595",1.6,1.8,1
"1596",1.7,1.8,1
"1597",1.8,1.8,1
"1598",1.9,1.8,1
"1599",2,1.8,1
"1600",-2,1.9,-1
"1601",-1.9,1.9,-1
"1602",-1.8,1.9,-1
"1603",-1.7,1.9,-1
"1604",-1.6,1.9,-1
"1605",-1.5,1.9,-1
"1606",-1.4,1.9,-1
"1607",-1.3,1.9,-1
"1608",-1.2,1.9,-1
"1609",-1.1,1.9,-1
"1610",-1,1.9,1
"1611",-0.9,1.9,1
"1612",-0.8,1.9,1
"1613",-0.7,1.9,1
"1614",-0.6,1.9,1
"1615",-0.5,1.9,1
"1616",-0.4,1.9,1
"1617",-0.3,1.9,1
"1618",-0.2,1.9,1
"1619",-0.0999999999999999,1.9,1
"1620",0,1.9,1
"1621",0.1,1.9,-1
"1622",0.2,1.9,-1
"1623",0.3,1.9,-1
"1624",0.4,1.9,-1
"1625",0.5,1.9,-1
"1626",0.6,1.9,-1
"1627",0.7,1.9,-1
"1628",0.8,1.9,-1
"1629",0.9,1.9,-1
"1630",1,1.9,-1
"1631",1.1,1.9,1
"1632",1.2,1.9,1
"1633",1.3,1.9,1
"1634",1.4,1.9,1
"1635",1.5,1.9,1
"1636",1.6,1.9,1
"1637",1.7,1.9,1
"1638",1.8,1.9,1
"1639",1.9,1.9,1
"1640",2,1.9,1
"1641",-2,2,-1
"1642",-1.9,2,-1
"1643",-1.8,2,-1
"1644",-1.7,2,-1
"1645",-1.6,2,-1
"1646",-1.5,2,-1
"1647",-1.4,2,-1
"1648",-1.3,2,-1
"1649",-1.2,2,-1
"1650",-1.1,2,-1
"1651",-1,2,1
"1652",-0.9,2,1
"1653",-0.8,2,1
"1654",-0.7,2,1
"1655",-0.6,2,1
"1656",-0.5,2,1
"1657",-0.4,2,1
"1658",-0.3,2,1
"1659",-0.2,2,1
"1660",-0.0999999999999999,2,1
"1661",0,2,1
"1662",0.1,2,-1
"1663",0.2,2,-1
"1664",0.3,2,-1
"1665",0.4,2,-1
"1666",0.5,2,-1
"1667",0.6,2,-1
"1668",0.7,2,-1
"1669",0.8,2,-1
"1670",0.9,2,-1
"1671",1,2,-1
"1672",1.1,2,1
"1673",1.2,2,1
"1674",1.3,2,1
"1675",1.4,2,1
"1676",1.5,2,1
"1677",1.6,2,1
"1678",1.7,2,1
"1679",1.8,2,1
"1680",1.9,2,1
"1681",2,2,1
